anello|program02.X
0|48.39.0.0
1|48.39.0.0
2|49.40.1.1
3|50.40.1.0
4|51.40.1.0
5|52.40.1.0
6|53.40.1.0
7|54.40.1.0
8|55.40.1.0
9|56.40.1.0
10|57.40.1.0
11|58.40.1.0
12|59.40.1.0
13|60.40.1.0
14|61.40.1.0
15|62.40.1.0
16|63.40.1.0
17|64.40.1.0
18|65.40.1.0
19|66.40.1.0
20|67.40.1.0
21|68.40.1.0
22|69.40.1.0
23|70.40.1.0
24|71.40.1.0
25|72.40.1.0
26|73.40.1.0
27|74.40.1.0
28|75.40.1.0
29|76.40.1.0
30|77.40.1.0
31|78.40.1.0
32|79.40.1.0
33|80.40.1.0
34|81.40.1.0
35|82.40.1.0
36|83.40.1.0
37|84.40.1.0
38|85.40.1.0
39|86.40.1.0
40|87.40.1.0
41|88.40.1.0
42|89.40.1.0
43|90.40.1.0
44|91.40.1.0
45|92.40.1.0
46|93.40.1.0
47|94.40.1.0
48|95.40.1.0
49|96.39.1.-1
50|97.39.1.0
51|98.38.1.-1
52|99.37.1.-1
53|100.36.1.-1
54|101.35.1.-1
55|102.34.1.-1
56|103.33.1.-1
57|103.32.0.-1
58|104.31.1.-1
59|104.30.0.-1
60|104.29.0.-1
61|105.28.1.-1
62|105.27.0.-1
63|105.26.0.-1
64|105.25.0.-1
65|106.24.1.-1
66|106.23.0.-1
67|106.22.0.-1
68|106.21.0.-1
69|106.20.0.-1
70|106.19.0.-1
71|106.18.0.-1
72|107.17.1.-1
73|107.16.0.-1
74|106.15.-1.-1
75|105.14.-1.-1
76|105.13.0.-1
77|104.12.-1.-1
78|104.11.0.-1
79|104.10.0.-1
80|103.9.-1.-1
81|103.8.0.-1
82|102.7.-1.-1
83|101.6.-1.-1
84|100.6.-1.0
85|99.5.-1.-1
86|98.4.-1.-1
87|97.4.-1.0
88|96.4.-1.0
89|95.4.-1.0
90|94.3.-1.-1
91|93.3.-1.0
92|92.3.-1.0
93|91.3.-1.0
94|90.3.-1.0
95|89.3.-1.0
96|88.3.-1.0
97|87.3.-1.0
98|86.3.-1.0
99|85.3.-1.0
100|84.3.-1.0
101|83.3.-1.0
102|82.3.-1.0
103|81.3.-1.0
104|80.3.-1.0
105|79.3.-1.0
106|78.3.-1.0
107|77.3.-1.0
108|76.3.-1.0
109|75.3.-1.0
110|74.3.-1.0
111|73.3.-1.0
112|72.3.-1.0
113|71.3.-1.0
114|70.3.-1.0
115|69.3.-1.0
116|68.3.-1.0
117|67.3.-1.0
118|66.2.-1.-1
119|65.2.-1.0
120|64.3.-1.1
121|63.3.-1.0
122|62.3.-1.0
123|61.3.-1.0
124|60.3.-1.0
125|59.3.-1.0
126|58.3.-1.0
127|57.3.-1.0
128|56.3.-1.0
129|55.3.-1.0
130|54.3.-1.0
131|53.3.-1.0
132|52.3.-1.0
133|51.3.-1.0
134|50.3.-1.0
135|49.3.-1.0
136|48.3.-1.0
137|47.3.-1.0
138|46.3.-1.0
139|45.3.-1.0
140|44.3.-1.0
141|43.3.-1.0
142|42.3.-1.0
143|41.3.-1.0
144|40.3.-1.0
145|39.3.-1.0
146|38.3.-1.0
147|37.3.-1.0
148|36.3.-1.0
149|35.3.-1.0
150|34.3.-1.0
151|33.3.-1.0
152|32.3.-1.0
153|31.3.-1.0
154|30.3.-1.0
155|29.3.-1.0
156|28.3.-1.0
157|27.3.-1.0
158|26.3.-1.0
159|25.3.-1.0
160|24.3.-1.0
161|23.3.-1.0
162|22.2.-1.-1
163|21.2.-1.0
164|20.3.-1.1
165|19.3.-1.0
166|18.3.-1.0
167|17.4.-1.1
168|16.4.-1.0
169|15.4.-1.0
170|14.4.-1.0
171|13.5.-1.1
172|12.5.-1.0
173|11.5.-1.0
174|10.6.-1.1
175|9.6.-1.0
176|8.7.-1.1
177|7.8.-1.1
178|7.9.0.1
179|6.10.-1.1
180|6.11.0.1
181|6.12.0.1
182|5.13.-1.1
183|5.14.0.1
184|5.15.0.1
185|5.16.0.1
186|4.17.-1.1
187|4.18.0.1
188|4.19.0.1
189|4.20.0.1
190|4.21.0.1
191|4.22.0.1
192|4.23.0.1
193|4.24.0.1
194|5.25.1.1
195|5.26.0.1
196|5.27.0.1
197|5.28.0.1
198|6.29.1.1
199|6.30.0.1
200|6.31.0.1
201|7.32.1.1
202|7.33.0.1
203|8.34.1.1
204|9.35.1.1
205|10.36.1.1
206|11.37.1.1
207|12.38.1.1
208|13.39.1.1
209|14.39.1.0
210|15.40.1.1
211|16.40.1.0
212|17.40.1.0
213|18.40.1.0
214|19.40.1.0
215|20.40.1.0
216|21.40.1.0
217|22.40.1.0
218|23.40.1.0
219|24.40.1.0
220|25.40.1.0
221|26.40.1.0
222|27.40.1.0
223|28.40.1.0
224|29.40.1.0
225|30.40.1.0
226|31.40.1.0
227|32.40.1.0
228|33.40.1.0
229|34.40.1.0
230|35.40.1.0
231|36.40.1.0
232|37.40.1.0
233|38.40.1.0
234|39.40.1.0
235|40.40.1.0
236|41.40.1.0
237|42.40.1.0
238|43.40.1.0
239|44.40.1.0
240|45.40.1.0
241|46.39.1.-1
242|46.38.0.-1
243|47.38.1.0
244|48.38.1.0
245|49.38.1.0
246|50.38.1.0
247|51.38.1.0
248|52.38.1.0
249|53.38.1.0
250|54.38.1.0
251|55.38.1.0
252|56.38.1.0
253|57.38.1.0
254|58.38.1.0
255|59.38.1.0
256|60.38.1.0
257|61.38.1.0
258|62.38.1.0
259|63.38.1.0
260|64.38.1.0
261|65.38.1.0
262|66.38.1.0
263|67.38.1.0
264|68.38.1.0
265|69.38.1.0
266|70.38.1.0
267|71.38.1.0
268|72.38.1.0
269|73.38.1.0
270|74.38.1.0
271|75.38.1.0
272|76.38.1.0
273|77.38.1.0
274|78.38.1.0
275|79.38.1.0
276|80.38.1.0
277|81.38.1.0
278|82.38.1.0
279|83.38.1.0
280|84.38.1.0
281|85.38.1.0
282|86.38.1.0
283|87.38.1.0
284|88.38.1.0
285|89.38.1.0
286|90.38.1.0
287|91.38.1.0
288|92.38.1.0
289|93.38.1.0
290|94.38.1.0
291|95.38.1.0
292|96.38.1.0
293|97.38.1.0
294|98.38.1.0
295|99.38.1.0
296|100.38.1.0
297|101.38.1.0
298|102.38.1.0
299|103.38.1.0
