monza|program02.X
0|65.33.0.0
1|65.33.0.0
2|64.34.-1.1
3|63.34.-1.0
4|62.34.-1.0
5|61.34.-1.0
6|60.34.-1.0
7|59.34.-1.0
8|58.34.-1.0
9|57.34.-1.0
10|56.34.-1.0
11|55.34.-1.0
12|54.34.-1.0
13|53.34.-1.0
14|52.34.-1.0
15|51.34.-1.0
16|50.34.-1.0
17|49.34.-1.0
18|48.34.-1.0
19|47.34.-1.0
20|46.34.-1.0
21|45.33.-1.-1
22|44.32.-1.-1
23|43.31.-1.-1
24|42.30.-1.-1
25|41.30.-1.0
26|40.31.-1.1
27|39.32.-1.1
28|38.33.-1.1
29|37.34.-1.1
30|36.34.-1.0
31|35.34.-1.0
32|34.34.-1.0
33|33.34.-1.0
34|32.34.-1.0
35|31.34.-1.0
36|30.34.-1.0
37|29.34.-1.0
38|28.34.-1.0
39|27.34.-1.0
40|26.34.-1.0
41|25.34.-1.0
42|24.34.-1.0
43|23.34.-1.0
44|22.34.-1.0
45|21.34.-1.0
46|20.34.-1.0
47|19.33.-1.-1
48|18.32.-1.-1
49|17.31.-1.-1
50|16.30.-1.-1
51|15.29.-1.-1
52|14.28.-1.-1
53|13.27.-1.-1
54|12.26.-1.-1
55|11.25.-1.-1
56|11.24.0.-1
57|12.23.1.-1
58|13.22.1.-1
59|14.21.1.-1
60|15.20.1.-1
61|16.19.1.-1
62|17.18.1.-1
63|17.17.0.-1
64|17.16.0.-1
65|17.15.0.-1
66|16.14.-1.-1
67|15.13.-1.-1
68|14.12.-1.-1
69|13.11.-1.-1
70|13.10.0.-1
71|12.9.-1.-1
72|12.8.0.-1
73|11.7.-1.-1
74|10.6.-1.-1
75|10.5.0.-1
76|11.4.1.-1
77|12.4.1.0
78|13.4.1.0
79|14.4.1.0
80|15.4.1.0
81|16.4.1.0
82|17.4.1.0
83|18.5.1.1
84|19.5.1.0
85|20.6.1.1
86|21.7.1.1
87|22.8.1.1
88|23.9.1.1
89|24.10.1.1
90|25.11.1.1
91|26.12.1.1
92|27.13.1.1
93|28.14.1.1
94|29.15.1.1
95|30.16.1.1
96|31.17.1.1
97|32.17.1.0
98|33.17.1.0
99|34.17.1.0
100|35.17.1.0
101|36.17.1.0
